stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,geometry,index_right,bairro
1923,,"RUA TEN QUEIROZ, 667",,-3.745329,-38.592164,,,0,,,,POINT (-38.592164 -3.745329),70.0,ANTÔNIO BEZERRA
1926,,"AVENIDA OSCAR ARARIPE, 3158",,-3.785057,-38.618744,,,0,,,,POINT (-38.618744 -3.785057),91.0,GRANJA LISBOA
193,,"RUA CON CASTRO, SN",,-3.788182,-38.576365,,,0,,,,POINT (-38.576365 -3.788182),83.0,VILA PERI
1932,,"RUA FRANCISCO PAIVA, 848",,-3.789324,-38.613788,,,0,,,,POINT (-38.613788 -3.789324),91.0,GRANJA LISBOA
1933,,"RUA BOM JESUS, 2297",,-3.790473,-38.6134,,,0,,,,POINT (-38.6134 -3.790473),91.0,GRANJA LISBOA
1934,,"RUA BOM JESUS, 2584",,-3.789903,-38.615148,,,0,,,,POINT (-38.615148 -3.789903),91.0,GRANJA LISBOA
1936,,"RUA BOM JESUS, 2822",,-3.788485,-38.619842,,,0,,,,POINT (-38.619842 -3.788485),91.0,GRANJA LISBOA
1937,,"RUA BOM JESUS, 3091",,-3.788209,-38.620803,,,0,,,,POINT (-38.620803 -3.788209),91.0,GRANJA LISBOA
1938,,"RUA JOSE TORRES, 1272",,-3.782171,-38.607877,,,0,,,,POINT (-38.607877 -3.782171),99.0,GRANJA PORTUGAL
1939,,"RUA JOSE TORRES, 1161",,-3.782142,-38.607868,,,0,,,,POINT (-38.607868 -3.782142),99.0,GRANJA PORTUGAL
194,,"RUA CON CASTRO, SN",,-3.787948,-38.576148,,,0,,,,POINT (-38.576148 -3.787948),83.0,VILA PERI
1940,,"RUA CEL VIRGILIO N PAES, 319",,-3.78574,-38.607757,,,0,,,,POINT (-38.607757 -3.78574),99.0,GRANJA PORTUGAL
1941,,"RUA CEL FABRICIANO, 1776",,-3.782814,-38.607621,,,0,,,,POINT (-38.607621 -3.782814),99.0,GRANJA PORTUGAL
1942,,"RUA CEL FABRICIANO, 1651 A",,-3.783339,-38.60578,,,0,,,,POINT (-38.60578 -3.783339),99.0,GRANJA PORTUGAL
1943,,"RUA CEL FABRICIANO, 1355",,-3.783782,-38.604193,,,0,,,,POINT (-38.604193 -3.783782),99.0,GRANJA PORTUGAL
1944,,"RUA CEL FABRICIANO, 1201",,-3.784237,-38.60258,,,0,,,,POINT (-38.60258 -3.784237),99.0,GRANJA PORTUGAL
1946,,"RUA ANTONIO NERY, 1271",,-3.783497,-38.601685,,,0,,,,POINT (-38.601685 -3.783497),99.0,GRANJA PORTUGAL
1948,,"AVENIDA OSCAR ARARIPE, 1019",,-3.790809,-38.60052,,,0,,,,POINT (-38.60052 -3.790809),95.0,BOM JARDIM
195,,"RUA CON CASTRO, 2147",,-3.789315,-38.577406,,,0,,,,POINT (-38.577406 -3.789315),83.0,VILA PERI
1951,,"AVENIDA OSCAR ARARIPE, 1930",,-3.788341,-38.608194,,,0,,,,POINT (-38.608194 -3.788341),95.0,BOM JARDIM
1952,,"RUA CEL VIRGILIO N PAES, 791",,-3.790629,-38.609345,,,0,,,,POINT (-38.609345 -3.790629),95.0,BOM JARDIM
1955,,"AVENIDA OSCAR ARARIPE, 1560",,-3.789117,-38.605823,,,0,,,,POINT (-38.605823 -3.789117),95.0,BOM JARDIM
1958,,"RUA JOSE ABILIO, 786",,-3.783836,-38.598694,,,0,,,,POINT (-38.598694 -3.783836),99.0,GRANJA PORTUGAL
1959,,"RUA MARIA JULIA, 1305",,-3.784445,-38.597519,,,0,,,,POINT (-38.597519 -3.784445),99.0,GRANJA PORTUGAL
196,,"RUA CON CASTRO, 2242",,-3.789657,-38.577721,,,0,,,,POINT (-38.577721 -3.789657),83.0,VILA PERI
1961,,"RUA MARIA JULIA, 42",,-3.785942,-38.597925,,,0,,,,POINT (-38.597925 -3.785942),99.0,GRANJA PORTUGAL
1962,,"AVENIDA PERIMETRAL, 1054",,-3.78528,-38.589942,,,0,,,,POINT (-38.589942 -3.78528),66.0,BONSUCESSO
1965,,"RUA NEREIDE, 740",,-3.787934,-38.597624,,,0,,,,POINT (-38.597624 -3.787934),99.0,GRANJA PORTUGAL
1966,,"RUA NEREIDE, 483",,-3.78856,-38.595606,,,0,,,,POINT (-38.595606 -3.78856),99.0,GRANJA PORTUGAL
1967,,"RUA NEREIDE, 489",,-3.78862,-38.595414,,,0,,,,POINT (-38.595414 -3.78862),99.0,GRANJA PORTUGAL
1968,,"RUA NEREIDE, 321",,-3.789547,-38.592312,,,0,,,,POINT (-38.592312 -3.789547),99.0,GRANJA PORTUGAL
1970,,"RUA JOAO VINTE TRES, 18",,-3.790206,-38.592811,,,0,,,,POINT (-38.592811 -3.790206),99.0,GRANJA PORTUGAL
1971,,"RUA JOAO VINTE TRES, 51",,-3.790088,-38.593193,,,0,,,,POINT (-38.593193 -3.790088),99.0,GRANJA PORTUGAL
1972,,"AVENIDA LUIS VIEIRA, 1223",,-3.787518,-38.589961,,,0,,,,POINT (-38.589961 -3.787518),66.0,BONSUCESSO
1973,,"AVENIDA MISTER HULL, 4856",,-3.739,-38.587893,,,0,,,,POINT (-38.587893 -3.739),70.0,ANTÔNIO BEZERRA
1974,,"AVENIDA MIT HULL, 4869",,-3.739324,-38.587961,,,0,,,,POINT (-38.587961 -3.739324),70.0,ANTÔNIO BEZERRA
1975,,"RUA DOR JOAO GUILHERME, 373",,-3.737512,-38.58848,,,0,,,,POINT (-38.58848 -3.737512),70.0,ANTÔNIO BEZERRA
1977,,"AVENIDA MIT HULL, 4261",,-3.738655,-38.583285,,,0,,,,POINT (-38.583285 -3.738655),115.0,PADRE ANDRADE
1978,,"AVENIDA MISTER HULL, 4465",,-3.738306,-38.583002,,,0,,,,POINT (-38.583002 -3.738306),115.0,PADRE ANDRADE
1979,,"AVENIDA MIT HULL, 4025",,-3.738122,-38.580383,,,0,,,,POINT (-38.580383 -3.738122),115.0,PADRE ANDRADE
198,,"AVENIDA GODOFREDO MACIEL, 841",,-3.783838,-38.565918,,,0,,,,POINT (-38.565918 -3.783838),82.0,ITAPERI
1980,,"AVENIDA MISTER HULL, S/N",,-3.738015,-38.580987,,,0,,,,POINT (-38.580987 -3.738015),115.0,PADRE ANDRADE
1981,,"RUA RUI MONTE, 637",,-3.745591,-38.586523,,,0,,,,POINT (-38.586523 -3.745591),70.0,ANTÔNIO BEZERRA
1982,,"RUA PRO EUGENIO ARRUDA, 683",,-3.745401,-38.586623,,,0,,,,POINT (-38.586623 -3.745401),70.0,ANTÔNIO BEZERRA
1983,,"RUA RUI MONTE, 477",,-3.743063,-38.587277,,,0,,,,POINT (-38.587277 -3.743063),70.0,ANTÔNIO BEZERRA
1984,,"RUA RUI MONTE, 440",,-3.742811,-38.5873,,,0,,,,POINT (-38.5873 -3.742811),70.0,ANTÔNIO BEZERRA
1985,,"RUA RUI MONTE, 305",,-3.742013,-38.587354,,,0,,,,POINT (-38.587354 -3.742013),70.0,ANTÔNIO BEZERRA
1986,,"RUA RUI MONTE, 250",,-3.741533,-38.587391,,,0,,,,POINT (-38.587391 -3.741533),70.0,ANTÔNIO BEZERRA
1988,,"RUA MATOS DOURADO, 509",,-3.741236,-38.585075,,,0,,,,POINT (-38.585075 -3.741236),115.0,PADRE ANDRADE
199,,"RUA PRIMEIRO DE JANEIRO, 96",,-3.785103,-38.565168,,,0,,,,POINT (-38.565168 -3.785103),82.0,ITAPERI
1990,,"RUA CEL MATOS DOURADO, 661",,-3.744682,-38.584854,,,0,,,,POINT (-38.584854 -3.744682),114.0,PICI
1991,,"RUA MATOS DOURADO, 835",,-3.745763,-38.584965,,,0,,,,POINT (-38.584965 -3.745763),112.0,DOM LUSTOSA
1992,,"AVENIDA MISTER HULL, SN",,-3.737803,-38.577956,,,0,,,,POINT (-38.577956 -3.737803),115.0,PADRE ANDRADE
1993,,"AVENIDA MISTER HULL, SN",,-3.737598,-38.577982,,,0,,,,POINT (-38.577982 -3.737598),115.0,PADRE ANDRADE
1994,,"RUA ANDRADE FURTADO, SN",,-3.739361,-38.572353,,,0,,,,POINT (-38.572353 -3.739361),114.0,PICI
1995,,"RUA ANDRADE FURTADO, SN",,-3.739469,-38.572291,,,0,,,,POINT (-38.572291 -3.739469),114.0,PICI
1996,,"AVENIDA MISTER  HULL, SN",,-3.737115,-38.572514,,,0,,,,POINT (-38.572514 -3.737115),114.0,PICI
1997,,"AVENIDA MISTER HULL, 3210",,-3.737085,-38.574095,,,0,,,,POINT (-38.574095 -3.737085),38.0,PRESIDENTE KENNEDY
1999,,"RUA ENG HUMBERTO MONTE, 233",,-3.739194,-38.568849,,,0,,,,POINT (-38.568849 -3.739194),114.0,PICI
20,,"AVENIDA CEL CARVALHO, 612",,-3.708489,-38.59032,,,0,,,,POINT (-38.59032 -3.708489),86.0,VILA VELHA
200,,"AVENIDA GODOFREDO MACIEL, 1184",,-3.786139,-38.56677,,,0,,,,POINT (-38.56677 -3.786139),87.0,PARANGABA
2003,,"AVENIDA MISTER HULL, SN",,-3.73681,-38.571699,,,0,,,,POINT (-38.571699 -3.73681),38.0,PRESIDENTE KENNEDY
2004,,"RUA PRO ARMANDO FARIAS, SN",,-3.745172,-38.576592,,,0,,,,POINT (-38.576592 -3.745172),114.0,PICI
2005,,"RUA AURELIO CAMARA, SN",,-3.742517,-38.574904,,,0,,,,POINT (-38.574904 -3.742517),114.0,PICI
2006,,"RUA PRO ARMANDO FARIAS, UFC",,-3.745135,-38.573142,,,0,,,,POINT (-38.573142 -3.745135),114.0,PICI
2007,,"RUA AURÉLIO CAMARÁ, SN",,-3.742524,-38.574766,,,0,,,,POINT (-38.574766 -3.742524),114.0,PICI
2008,,"RUA ENG HUMBERTO MONTE, 2440",,-3.741276,-38.567315,,,0,,,,POINT (-38.567315 -3.741276),114.0,PICI
201,,"AVENIDA GODOFREDO MACIEL, 1184",,-3.786106,-38.566615,,,0,,,,POINT (-38.566615 -3.786106),82.0,ITAPERI
2011,,"RUA ERICO MOTA, 476",,-3.740067,-38.56203,,,0,,,,POINT (-38.56203 -3.740067),98.0,PARQUELÂNDIA
2013,,"RUA ERICO MOTA, 226",,-3.737937,-38.562462,,,0,,,,POINT (-38.562462 -3.737937),98.0,PARQUELÂNDIA
2014,,"AVENIDA JOVITA FEITOSA, 2680",,-3.74074,-38.561144,,,0,,,,POINT (-38.561144 -3.74074),98.0,PARQUELÂNDIA
2015,,"AVENIDA JOVITA FEITOSA, 2720",,-3.740888,-38.561375,,,0,,,,POINT (-38.561375 -3.740888),49.0,AMADEU FURTADO
2016,,"AVENIDA JOVITA FEITOSA, 2902",,-3.741229,-38.563455,,,0,,,,POINT (-38.563455 -3.741229),98.0,PARQUELÂNDIA
2017,,"AVENIDA JOVITA FEITOSA, 2426",,-3.740314,-38.559022,,,0,,,,POINT (-38.559022 -3.740314),98.0,PARQUELÂNDIA
2018,,"AVENIDA JOVITA FEITOSA, 2423",,-3.740389,-38.55893,,,0,,,,POINT (-38.55893 -3.740389),49.0,AMADEU FURTADO
2019,,"RUA ENG HUMBERTO MONTE, 1999",,-3.743933,-38.564643,,,0,,,,POINT (-38.564643 -3.743933),49.0,AMADEU FURTADO
2020,,"RUA ENG HUMBERTO MONTE, 2035",,-3.742547,-38.565983,,,0,,,,POINT (-38.565983 -3.742547),49.0,AMADEU FURTADO
2021,,"RUA ENG HUMBERTO MONTE, 2290",,-3.742323,-38.566015,,,0,,,,POINT (-38.566015 -3.742323),49.0,AMADEU FURTADO
2022,,"AVENIDA JOVITA FEITOSA, 3116",,-3.741668,-38.565612,,,0,,,,POINT (-38.565612 -3.741668),98.0,PARQUELÂNDIA
2023,,"AVENIDA JOVITA FEITOSA, 3147",,-3.741821,-38.565853,,,0,,,,POINT (-38.565853 -3.741821),49.0,AMADEU FURTADO
2026,,"RUA ERICO MOTA, 582",,-3.741519,-38.561726,,,0,,,,POINT (-38.561726 -3.741519),49.0,AMADEU FURTADO
2027,,"RUA ERICO MOTA, 754",,-3.743397,-38.561335,,,0,,,,POINT (-38.561335 -3.743397),49.0,AMADEU FURTADO
2029,,"RUA AMADEU FURTADO, 944",,-3.743946,-38.562345,,,0,,,,POINT (-38.562345 -3.743946),49.0,AMADEU FURTADO
2030,,"RUA ENG HUMBERTO MONTE, 1735",,-3.745692,-38.563421,,,0,,,,POINT (-38.563421 -3.745692),49.0,AMADEU FURTADO
2031,,"RUA ENG HUMBERTO MONTE, 1730",,-3.745384,-38.563513,,,0,,,,POINT (-38.563513 -3.745384),49.0,AMADEU FURTADO
2032,,"AVENIDA JOVITA FEITOSA, 2879",,-3.74137,-38.563662,,,0,,,,POINT (-38.563662 -3.74137),49.0,AMADEU FURTADO
2033,,"RUA NESTOR BARBOSA, 272",,-3.74457,-38.557981,,,0,,,,POINT (-38.557981 -3.74457),49.0,AMADEU FURTADO
2034,,"RUA PRO LINO ENCARNACAO, 720",,-3.741843,-38.560531,,,0,,,,POINT (-38.560531 -3.741843),49.0,AMADEU FURTADO
2035,,"RUA PRO LINO ENCARNACAO, 960",,-3.74392,-38.560104,,,0,,,,POINT (-38.560104 -3.74392),49.0,AMADEU FURTADO
2036,,"RUA NESTOR BARBOSA, 608",,-3.745059,-38.560375,,,0,,,,POINT (-38.560375 -3.745059),49.0,AMADEU FURTADO
2037,,"RUA ERICO MOTA, 982",,-3.745391,-38.560941,,,0,,,,POINT (-38.560941 -3.745391),49.0,AMADEU FURTADO
